Table 4：领券后15天内使用预测结果,,,
用户ID,优惠券ID,领取优惠券日期,领券后15天内使用预测
4129537,9983,20160712,0.013722982
6949378,3429,20160706,0.146657518
2166529,6928,20160727,0.007330491
2166529,1808,20160727,0.007068167
6172162,6500,20160708,0.081766223
4005121,9983,20160706,0.062587179
4347394,9983,20160716,0.063561135
3094273,13602,20160727,0.030512995
5139970,9983,20160729,0.008686102
3237121,13602,20160703,0.033861257
6224386,9983,20160716,0.012279365
6488578,13602,20160712,0.040903229
4164865,9983,20160703,0.012441945
4164865,8059,20160706,0.08300851
5468674,9983,20160713,0.02357387
6258178,9144,20160706,0.173267842
3659521,7341,20160727,0.04216713
3659521,13181,20160717,0.023721508
3659521,13602,20160718,0.040967498
7333378,13602,20160704,0.059122163
7333378,785,20160727,0.220611745
4454914,2978,20160711,0.041103012
6817282,8375,20160724,0.026239058
3149569,10418,20160721,0.016527377
6301186,1715,20160718,0.084066557
6301186,4203,20160708,0.06055762
2891521,13602,20160724,0.054365267
3422977,13602,20160727,0.040967498
4771330,13602,20160726,0.027439649
4513282,11799,20160712,0.012059672
3439873,13602,20160713,0.040903229
6632962,13602,20160727,0.040903229
6632962,10438,20160705,0.033773996
6912514,9934,20160724,0.212116012
2821891,10418,20160702,0.019908019
3872515,10418,20160704,0.019908019
3872515,2978,20160704,0.038513888
2699011,13602,20160705,0.041342822
5406214,3903,20160722,0.061657497
5406214,2440,20160722,0.061657497
3359491,10418,20160725,0.018102306
4147459,5743,20160715,0.129024729
5427718,4912,20160704,0.137840585
5427718,662,20160704,0.238883263
5427718,1528,20160704,0.178788861
2848003,13602,20160702,0.025072202
2726659,10842,20160724,0.553113242
3649795,2978,20160723,0.032077132
3649795,10418,20160701,0.016527377
2612995,9983,20160703,0.011076301
3808003,9983,20160721,0.008688409
3812611,3992,20160721,0.022799262
3425539,3992,20160719,0.041268854
6853126,13181,20160721,0.109191061
4251142,10609,20160707,0.162873445
3442435,13602,20160713,0.040903229
3182851,11986,20160731,0.039464124
7175686,7774,20160706,0.126911228
7175686,9983,20160717,0.01866749
3199747,8059,20160712,0.062240567
3199747,3429,20160718,0.061082757
6140422,6480,20160728,0.077347663
4001029,13602,20160704,0.030123974
